Filename,Time (ps),LJ Energy (kJ/mol),Distance (nm)
dhdl_modified_426.xvg,0.0,27048.244141,0.426
dhdl_modified_427.xvg,0.0,26297.152344,0.427
dhdl_modified_428.xvg,0.0,25568.554688,0.428
dhdl_modified_429.xvg,0.0,24861.699219,0.429
dhdl_modified_430.xvg,0.0,24175.933594,0.43
dhdl_modified_431.xvg,0.0,23510.617188,0.431
dhdl_modified_432.xvg,0.0,22865.019531,0.432
dhdl_modified_433.xvg,0.0,22238.560547,0.433
dhdl_modified_434.xvg,0.0,21630.589844,0.434
dhdl_modified_435.xvg,0.0,21040.583984,0.435
dhdl_modified_436.xvg,0.0,20467.943359,0.436
dhdl_modified_437.xvg,0.0,19912.060547,0.437
dhdl_modified_438.xvg,0.0,19372.509766,0.438
dhdl_modified_439.xvg,0.0,18848.683594,0.439
dhdl_modified_440.xvg,0.0,18340.179688,0.44
dhdl_modified_441.xvg,0.0,17846.46875,0.441
dhdl_modified_442.xvg,0.0,17367.072266,0.442
dhdl_modified_443.xvg,0.0,16901.542969,0.443
dhdl_modified_444.xvg,0.0,16449.503906,0.444
dhdl_modified_445.xvg,0.0,16010.492188,0.445
dhdl_modified_446.xvg,0.0,15584.113281,0.446
dhdl_modified_447.xvg,0.0,15169.986328,0.447
dhdl_modified_448.xvg,0.0,14767.707031,0.448
dhdl_modified_449.xvg,0.0,14376.94043,0.449
dhdl_modified_450.xvg,0.0,13997.333984,0.45
dhdl_modified_451.xvg,0.0,13628.529297,0.451
dhdl_modified_452.xvg,0.0,13270.185547,0.452
dhdl_modified_453.xvg,0.0,12921.99707,0.453
dhdl_modified_454.xvg,0.0,12583.670898,0.454
dhdl_modified_455.xvg,0.0,12254.907227,0.455
dhdl_modified_456.xvg,0.0,11935.384766,0.456
dhdl_modified_457.xvg,0.0,11624.829102,0.457
dhdl_modified_458.xvg,0.0,11323.014648,0.458
dhdl_modified_459.xvg,0.0,11029.644531,0.459
dhdl_modified_460.xvg,0.0,10744.438477,0.46
dhdl_modified_461.xvg,0.0,10467.208984,0.461
dhdl_modified_462.xvg,0.0,10197.650391,0.462
dhdl_modified_463.xvg,0.0,9935.603516,0.463
dhdl_modified_464.xvg,0.0,9680.804688,0.464
dhdl_modified_465.xvg,0.0,9433.0625,0.465
dhdl_modified_466.xvg,0.0,9192.125977,0.466
dhdl_modified_467.xvg,0.0,8957.832031,0.467
dhdl_modified_468.xvg,0.0,8729.972656,0.468
dhdl_modified_469.xvg,0.0,8508.355469,0.469
dhdl_modified_470.xvg,0.0,8292.799805,0.47
dhdl_modified_471.xvg,0.0,8083.115234,0.471
dhdl_modified_472.xvg,0.0,7879.161621,0.472
dhdl_modified_473.xvg,0.0,7680.739746,0.473
dhdl_modified_474.xvg,0.0,7487.705078,0.474
dhdl_modified_475.xvg,0.0,7299.899414,0.475
dhdl_modified_476.xvg,0.0,7117.149902,0.476
dhdl_modified_477.xvg,0.0,6939.347656,0.477
dhdl_modified_478.xvg,0.0,6766.322266,0.478
dhdl_modified_479.xvg,0.0,6597.948242,0.479
dhdl_modified_480.xvg,0.0,6434.073242,0.48
dhdl_modified_481.xvg,0.0,6274.578125,0.481
dhdl_modified_482.xvg,0.0,6119.358398,0.482
dhdl_modified_483.xvg,0.0,5968.248535,0.483
dhdl_modified_484.xvg,0.0,5821.166992,0.484
dhdl_modified_485.xvg,0.0,5677.98877,0.485
dhdl_modified_486.xvg,0.0,5538.599609,0.486
dhdl_modified_487.xvg,0.0,5402.890625,0.487
dhdl_modified_488.xvg,0.0,5270.76123,0.488
dhdl_modified_489.xvg,0.0,5142.116699,0.489
dhdl_modified_490.xvg,0.0,5016.836914,0.49
dhdl_modified_491.xvg,0.0,4894.854492,0.491
dhdl_modified_492.xvg,0.0,4776.058105,0.492
dhdl_modified_493.xvg,0.0,4660.36377,0.493
dhdl_modified_494.xvg,0.0,4547.682617,0.494
dhdl_modified_495.xvg,0.0,4437.936523,0.495
